2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@56a7d967
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@56a7d967
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration image -> org.hibernate.type.BasicTypeReference@6f8013f
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BasicTypeReference@3335696e
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@3335696e
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@5edb631f
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@365ff542
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.BasicTypeReference@70e8fb4f
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.BasicTypeReference@70e8fb4f
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@70e8fb4f
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.BasicTypeReference@680e9225
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration int -> org.hibernate.type.BasicTypeReference@680e9225
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@680e9225
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration long -> org.hibernate.type.BasicTypeReference@6dc8d7a0
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration long -> org.hibernate.type.BasicTypeReference@6dc8d7a0
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@6dc8d7a0
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.BasicTypeReference@24f4dabe
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.BasicTypeReference@24f4dabe
2024-12-29 11:49:49 [Thread-3] DEBUG o.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@24f4dabe
